network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,NC34,"Piedmont Research Station",A,1978-10-17,,Rowan,NC,35.6970,-80.6225,219,"North Carolina",R
NTN,NC35,"Clinton Crops Research Station",A,1978-10-24,,Sampson,NC,35.0258,-78.2783,41,"North Carolina",R
NTN,NC36,"Jordan Creek",A,1983-10-18,,Scotland,NC,34.9705,-79.5281,132,"North Carolina",R
NTN,NC41,"Finley Farm",A,1978-10-03,,Wake,NC,35.7283,-78.6789,120,"North Carolina",U
NTN,NC45,"Mt. Mitchell",A,1985-11-26,,Yancey,NC,35.7353,-82.2861,1987,"North Carolina",R
NTN,ND00,"Theodore Roosevelt National Park-Painted Canyon",A,2001-01-30,,Billings,ND,46.8951,-103.3780,863,"North Dakota",I
NTN,ND08,"Icelandic State Park",A,1983-10-25,,Pembina,ND,48.7820,-97.7546,306,"North Dakota",I
NTN,ND11,Woodworth,A,1983-11-29,,Stutsman,ND,47.1247,-99.2381,578,"North Dakota",I
NTN,NE15,Mead,A,1978-07-25,,Saunders,NE,41.1528,-96.4912,352,Nebraska,R
NTN,NE99,"North Platte Agricultural Experiment Station",A,1985-09-24,,Lincoln,NE,41.0592,-100.7464,919,Nebraska,R
NTN,NH02,"Hubbard Brook",A,1978-07-25,,Grafton,NH,43.9433,-71.7029,250,"New Hampshire",R
NTN,NJ00,"Edwin B. Forsythe National Wildlife Refuge",A,1998-10-13,,Atlantic,NJ,39.4728,-74.4369,2,"New Jersey",S
NTN,NJ39,"Cattus Island County Park",A,2012-12-04,,Ocean,NJ,39.9894,-74.1344,1,"New Jersey",U
NTN,NJ99,"Washington Crossing",A,1981-08-04,,Mercer,NJ,40.3154,-74.8536,72,"New Jersey",U
NTN,NM07,"Bandelier National Monument",A,1982-06-22,,"Los Alamos",NM,35.7788,-106.2660,1997,"New Mexico",R
NTN,NM08,Mayhill,A,1984-01-24,,Otero,NM,32.9096,-105.4710,2022,"New Mexico",I
NTN,NV03,"Smith Valley",A,1985-08-07,,Lyon,NV,38.7992,-119.2567,1501,Nevada,I
NTN,NV05,"Great Basin National Park-Lehman Caves",A,1985-01-15,,"White Pine",NV,39.0054,-114.2170,2066,Nevada,I
NTN,NY01,Alfred,A,2004-08-17,,Allegany,NY,42.2276,-77.8016,697,"New York",R
NTN,NY06,Bronx,A,2013-01-22,,Bronx,NY,40.8680,-73.8782,68,"New York",U
NTN,NY08,"Aurora Research Farm",A,1979-04-17,,Cayuga,NY,42.7339,-76.6597,249,"New York",R
NTN,NY10,Chautauqua,A,1980-06-10,,Chautauqua,NY,42.2994,-79.3964,488,"New York",R
NTN,NY20,"Huntington Wildlife",A,1978-10-31,,Essex,NY,43.9731,-74.2231,500,"New York",I
NTN,NY22,"Akwesasne Mohawk-Fort Covington",A,1999-08-18,,Franklin,NY,44.9226,-74.4806,70,"New York",R
NTN,NY28,"Piseco Lake",A,2012-12-31,,Hamilton,NY,43.4336,-74.5002,519,"New York",I
